index,CustomerId,Age,Dependents,noReferrals,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,ChurnLabel,CustomerLTV,Monthly_charge,AvgRoamCharge,Y_predict
12,C-10013,58,No,0,계좌이체,No,No,No,Yes,10,0,5536,79112.0,21130,1.0
17,C-10018,72,No,0,계좌이체,No,No,No,Yes,22,0,4432,80762.0,8810,1.0
51,C-10053,72,No,0,계좌이체,No,No,No,Yes,23,0,5742,107206.0,49830,1.0
67,C-10070,39,No,0,계좌이체,No,Yes,No,Yes,12,0,4800,125896.0,56160,1.0
105,C-10109,80,No,0,계좌이체,Yes,Yes,No,Yes,5,0,3033,90914.0,43620,1.0
121,C-10125,22,No,1,계좌이체,No,Yes,No,Yes,59,0,5876,119923.0,31980,1.0
137,C-10141,24,No,0,계좌이체,No,No,No,Yes,48,0,5687,93751.0,17290,1.0
197,C-10201,54,No,0,계좌이체,No,No,No,Yes,15,0,4924,98739.0,34580,1.0
226,C-10230,54,No,1,계좌이체,No,No,No,Yes,6,0,3880,54109.0,14690,1.0
252,C-10256,72,No,0,계좌이체,No,Yes,No,Yes,12,0,5626,117900.0,39550,1.0
274,C-10279,64,No,1,계좌이체,No,Yes,No,Yes,9,0,4283,99860.0,13560,1.0
277,C-10283,44,No,1,신용카드,No,Yes,No,Yes,23,0,4696,100157.0,16050,1.0
279,C-10285,72,No,0,계좌이체,No,No,No,Yes,13,0,3860,117224.0,11300,1.0
282,C-10288,34,No,1,계좌이체,No,No,No,No,23,0,6034,117810.0,53900,1.0
291,C-10298,78,No,0,계좌이체,No,Yes,No,No,18,0,3896,88333.0,23840,1.0
293,C-10300,51,No,0,계좌이체,No,Yes,No,Yes,12,0,4176,95749.0,7010,1.0
299,C-10306,39,No,0,계좌이체,No,Yes,No,Yes,6,0,5207,117403.0,29040,1.0
316,C-10324,74,No,0,계좌이체,No,No,No,Yes,15,0,5391,118633.0,38530,1.0
326,C-10335,28,No,0,계좌이체,No,No,No,Yes,42,0,2071,85394.0,32210,1.0
360,C-10372,69,No,0,계좌이체,No,Yes,No,Yes,11,0,4673,93610.0,28140,1.0
382,C-10394,76,No,0,계좌이체,No,Yes,No,Yes,8,0,4503,85950.0,40340,1.0
391,C-10403,51,No,0,계좌이체,No,No,No,Yes,28,0,5456,84600.0,49160,1.0
409,C-10423,54,No,1,계좌이체,No,Yes,No,Yes,24,0,4980,95524.0,23960,1.0
428,C-10442,69,No,0,계좌이체,No,No,No,Yes,12,0,4510,84600.0,7010,1.0
535,C-10552,48,No,0,계좌이체,No,No,No,Yes,23,0,6483,92073.0,29720,1.0
555,C-10573,63,No,0,계좌이체,No,No,No,Yes,17,0,4989,85858.0,28480,1.0
589,C-10608,29,No,1,계좌이체,No,No,Yes,Yes,82,0,4700,111298.0,43390,1.0
595,C-10614,46,No,1,계좌이체,No,No,No,Yes,2,0,5926,112740.0,24860,1.0
608,C-10627,35,No,0,계좌이체,No,No,No,Yes,16,0,5357,97109.0,13000,1.0
615,C-10634,22,No,0,계좌이체,No,No,No,Yes,27,0,3895,95552.0,50850,1.0
617,C-10636,74,No,0,계좌이체,No,No,No,Yes,16,0,4438,106791.0,47230,1.0
666,C-10688,66,No,0,계좌이체,No,No,No,Yes,5,0,5242,85555.0,47350,1.0
672,C-10694,63,No,0,이체/메일확인,No,No,No,No,18,0,2675,105158.0,34010,1.0
676,C-10698,79,No,1,계좌이체,No,No,Yes,Yes,24,0,4828,119064.0,54240,1.0
736,C-10760,60,No,1,계좌이체,No,No,No,Yes,5,0,4858,59396.0,35140,1.0
744,C-10768,38,No,0,계좌이체,Yes,No,No,Yes,19,0,2698,118251.0,42830,1.0
782,C-10806,25,No,1,계좌이체,No,No,No,Yes,59,0,5750,105574.0,21130,1.0
783,C-10807,60,No,0,계좌이체,No,No,No,Yes,29,0,3734,102504.0,12430,1.0
793,C-10817,21,No,1,신용카드,No,No,No,Yes,26,0,4235,113244.0,20790,1.0
797,C-10821,65,No,0,계좌이체,No,No,No,Yes,7,0,4093,86550.0,4860,1.0
798,C-10822,70,No,0,계좌이체,No,No,No,Yes,29,0,2565,99710.0,50400,1.0
815,C-10839,51,No,0,계좌이체,No,No,No,Yes,8,0,4834,89071.0,47910,1.0
820,C-10844,68,No,0,계좌이체,No,No,No,Yes,17,0,4351,91300.0,44640,1.0
847,C-10872,30,No,1,계좌이체,No,No,Yes,Yes,27,0,4518,96128.0,30060,1.0
869,C-10894,70,No,0,계좌이체,No,No,No,Yes,23,0,4812,103766.0,54810,1.0
915,C-10941,68,No,1,계좌이체,No,No,Yes,Yes,17,0,4118,116841.0,24970,1.0
919,C-10945,55,No,0,계좌이체,No,Yes,No,Yes,3,0,3924,108948.0,37520,1.0
932,C-10959,27,No,0,계좌이체,No,No,No,Yes,76,0,3042,85822.0,20680,1.0
940,C-10967,35,No,0,계좌이체,No,No,No,Yes,8,0,2288,82413.0,18190,1.0
976,C-11005,61,No,0,계좌이체,No,No,No,Yes,28,0,4120,85554.0,5090,1.0
994,C-11023,55,No,0,계좌이체,No,No,No,Yes,12,0,5335,89616.0,39100,1.0
1011,C-11042,32,No,0,계좌이체,No,No,No,Yes,16,0,2916,96267.0,12430,1.0
1071,C-11104,76,No,0,계좌이체,No,No,No,Yes,18,0,3960,109963.0,17740,1.0
1084,C-11117,60,No,0,계좌이체,No,Yes,No,Yes,2,0,5754,105838.0,17180,1.0
1090,C-11123,20,No,0,계좌이체,No,No,No,No,51,0,4063,94454.0,11410,1.0
1092,C-11125,77,Yes,1,계좌이체,No,Yes,No,Yes,19,0,4848,116384.0,55600,1.0
1103,C-11136,64,No,0,계좌이체,No,No,No,Yes,22,0,2904,117435.0,19780,1.0
1145,C-11178,74,No,0,계좌이체,No,No,No,Yes,12,0,3041,93584.0,54920,1.0
1154,C-11187,32,No,1,신용카드,No,No,No,Yes,9,0,3514,85215.0,43960,1.0
1167,C-11200,56,No,0,계좌이체,No,No,No,Yes,21,0,4388,100068.0,10740,1.0
1172,C-11205,29,No,0,계좌이체,No,No,No,No,26,0,4911,82060.0,3160,1.0
1269,C-11305,43,No,1,신용카드,No,No,No,Yes,14,0,5955,106624.0,4290,1.0
1273,C-11309,20,No,1,계좌이체,No,No,No,Yes,59,0,4142,101400.0,27460,1.0
1314,C-11355,45,No,0,계좌이체,No,No,No,Yes,22,0,4883,118307.0,31640,1.0
1317,C-11358,26,No,1,계좌이체,No,No,No,Yes,85,0,4396,91915.0,41020,1.0
1334,C-11375,63,No,0,계좌이체,No,No,No,Yes,20,0,3653,104219.0,50170,1.0
1369,C-11410,78,No,0,계좌이체,No,Yes,No,Yes,15,0,4477,123838.0,7120,1.0
